Question,A,B,C,D,Answer,Explanation
"What is the capital of France?","Berlin","Madrid","Paris","Rome","C","Paris is the capital city of France."
"What is the largest planet in our solar system?","Earth","Mars","Jupiter","Saturn","C","Jupiter is the largest planet in our solar system."
"Which gas is most abundant in the Earth's atmosphere?","Oxygen","Nitrogen","Carbon Dioxide","Hydrogen","B","Nitrogen makes up about 78% of the Earth's atmosphere."
"Who wrote 'Romeo and Juliet'?","Charles Dickens","William Shakespeare","Mark Twain","Jane Austen","B","William Shakespeare is the author of 'Romeo and Juliet.'"
"What is the chemical symbol for gold?","Au","Ag","Fe","Pb","A","Au is the chemical symbol for gold."
"What is the boiling point of water?","0°C","50°C","100°C","200°C","C","Water boils at 100°C at standard atmospheric pressure."
"Who painted the Mona Lisa?","Van Gogh","Picasso","Da Vinci","Rembrandt","C","Leonardo Da Vinci painted the Mona Lisa."
"What is the smallest unit of life?","Tissue","Cell","Organ","Organism","B","The cell is the smallest unit of life."
"Which planet is known as the Red Planet?","Venus","Mars","Jupiter","Saturn","B","Mars is often referred to as the Red Planet."
"What is the primary language spoken in Brazil?","Spanish","Portuguese","English","French","B","Portuguese is the primary language spoken in Brazil."
"What is the largest ocean on Earth?","Atlantic","Indian","Arctic","Pacific","D","The Pacific Ocean is the largest ocean on Earth."
"Who discovered gravity?","Albert Einstein","Isaac Newton","Galileo","Copernicus","B","Isaac Newton formulated the law of universal gravitation."
"What is the capital of Japan?","Beijing","Seoul","Tokyo","Bangkok","C","Tokyo is the capital city of Japan."
"What is the currency of the United Kingdom?","Dollar","Euro","Pound","Yen","C","Pound is the currency used in the United Kingdom."
"Who is the author of '1984'?","Huxley","Orwell","Bradbury","Kafka","B","George Orwell wrote '1984.'"
"What is the freezing point of water?","0°C","32°F","100°C","50°C","A","Water freezes at 0°C at standard atmospheric pressure."
"Which element has the atomic number 1?","Oxygen","Hydrogen","Carbon","Nitrogen","B","Hydrogen has the atomic number 1."
"What is the longest river in the world?","Amazon","Nile","Yangtze","Mississippi","B","The Nile is traditionally considered the longest river in the world."
"What is the hardest natural substance?","Diamond","Gold","Iron","Quartz","A","Diamond is the hardest natural substance."
"What year did the Titanic sink?","1912","1905","1898","1920","A","The Titanic sank in the year 1912."
"What is the chemical formula for water?","H2O","CO2","O2","H2O2","A","Water's chemical formula is H2O."
"Which planet is closest to the sun?","Venus","Earth","Mercury","Mars","C","Mercury is the closest planet to the sun."
"What is the main ingredient in guacamole?","Tomato","Avocado","Pepper","Onion","B","Avocado is the main ingredient in guacamole."
"What is the capital of Italy?","Madrid","Rome","Paris","Lisbon","B","Rome is the capital city of Italy."
